stationId,numTrips,percentage
216,790,0.08199358581822333
217,2006,0.2082014343688051
212,3829,0.3974094178455407
2005,84,0.008718305327507291
264,2284,0.23705487342888873
218,490,0.050856781077125865
2008,3162,0.32818192197116736
498,5329,0.553093441551028
499,7407,0.7687677090576964
494,4033,0.418582445069487
495,2722,0.28251460835089104
496,4506,0.46767480721128396
497,9469,0.982781346978173
490,6436,0.6679882510456776
491,4724,0.49030088532314814
492,4519,0.46902406875006486
493,3585,0.37208481665611476
343,606,0.06289634557701688
224,2213,0.22968582964016235
525,1863,0.19335955744221528
223,3642,0.3780008095569233
349,2052,0.2129757444291067
2009,1695,0.1759229467872007
407,1036,0.10752576570592326
345,5537,0.5746816261715223
540,4721,0.48998951727573714
347,5984,0.6210754652357575
403,3129,0.3247568734496466
402,7438,0.7719851788809432
401,4303,0.44660556933647466
545,3615,0.3751984971302245
281,6112,0.6343605019252925
280,3414,0.3543368379536892
2017,1330,0.13803983435219877
282,871,0.09040052309831965
285,7398,0.7678336049154636
284,6497,0.6743194013430343
409,436,0.04525215622372832
2012,2232,0.23165782727376516
344,494,0.05127193847367384
453,4497,0.466740703069051
537,3784,0.3927388971343761
522,2388,0.24784896573913584
2006,5182,0.5378364072278903
331,1366,0.14177625092113047
523,5476,0.5683504758741658
455,2595,0.2693333610104931
263,3525,0.36585745570789524
421,489,0.05075299172798887
261,1049,0.10887502724470416
260,1230,0.12766089943849962
267,2872,0.2980830107214398
266,1014,0.10524240002490945
265,3204,0.33254107463492094
127,4986,0.5174936947970399
128,5154,0.5349303054520544
346,3084,0.32008635273848196
268,3320,0.34458063913481196
364,554,0.05749929942189333
422,2376,0.24660349354949196
362,2726,0.282929765747439
363,3907,0.405504987078226
379,5424,0.5629534297190423
536,4387,0.45532387466398194
416,890,0.09237252073192248
417,2456,0.2549066414804513
410,3744,0.38858732316889644
360,1978,0.2052953325929693
531,3573,0.3708393444664709
530,3599,0.3735378675440326
296,2256,0.23414877165305295
137,2027,0.2103810107006819
