stationId,numTrips,percentage
512,3007,0.312094573
513,2028,0.2104848
514,5642,0.585579508
515,3872,0.40187236
516,1451,0.150598346
517,3139,0.325794767
518,4337,0.450134407
519,11072,1.149155674
520,2054,0.213183323
521,11489,1.192435832
522,2388,0.247848966
523,5476,0.568350476
525,1863,0.193359557
526,898,0.093202836
528,6592,0.68417939
529,3157,0.327662975
530,3599,0.373537868
531,3573,0.370839344
532,2487,0.258124111
533,2607,0.270578833
534,1487,0.154334762
536,4387,0.455323875
537,3784,0.392738897
539,2309,0.239649607
540,4721,0.489989517
545,3615,0.375198497
546,4482,0.465183863
2000,1806,0.187443565
2001,134,0.013907773
2002,2120,0.22003342
2003,3160,0.327974343
2004,2586,0.268399257
2005,84,0.008718305
2006,5182,0.537836407
2008,3162,0.328181922
2009,1695,0.175922947
2010,2748,0.285213131
2012,2232,0.231657827
2017,1330,0.138039834
2021,3277,0.340117697
2022,1975,0.204983965
2023,1649,0.171148637
3002,6468,0.67130951
