endstation,count,percentage
324,28,7.161125319693094
372,27,6.905370843989769
396,25,6.3938618925831205
366,23,5.88235294117647
258,10,2.557544757033248
539,10,2.557544757033248
282,10,2.557544757033248
83,9,2.3017902813299234
532,9,2.3017902813299234
373,8,2.0460358056265986
270,8,2.0460358056265986
217,8,2.0460358056265986
2002,7,1.7902813299232736
392,7,1.7902813299232736
354,7,1.7902813299232736
437,6,1.5345268542199488
409,6,1.5345268542199488
241,6,1.5345268542199488
313,6,1.5345268542199488
364,6,1.5345268542199488
2000,5,1.278772378516624
430,5,1.278772378516624
460,5,1.278772378516624
232,5,1.278772378516624
387,5,1.278772378516624
353,5,1.278772378516624
323,5,1.278772378516624
274,4,1.0230179028132993
298,4,1.0230179028132993
157,4,1.0230179028132993
389,4,1.0230179028132993
365,4,1.0230179028132993
471,4,1.0230179028132993
388,4,1.0230179028132993
244,4,1.0230179028132993
344,3,0.7672634271099744
467,3,0.7672634271099744
265,3,0.7672634271099744
412,3,0.7672634271099744
233,3,0.7672634271099744
263,3,0.7672634271099744
242,3,0.7672634271099744
218,3,0.7672634271099744
436,3,0.7672634271099744
390,3,0.7672634271099744
119,3,0.7672634271099744
443,3,0.7672634271099744
399,3,0.7672634271099744
275,2,0.5115089514066496
262,2,0.5115089514066496
414,2,0.5115089514066496
525,2,0.5115089514066496
278,2,0.5115089514066496
316,2,0.5115089514066496
384,2,0.5115089514066496
120,2,0.5115089514066496
533,2,0.5115089514066496
406,2,0.5115089514066496
419,2,0.5115089514066496
420,2,0.5115089514066496
304,1,0.2557544757033248
311,1,0.2557544757033248
481,1,0.2557544757033248
3002,1,0.2557544757033248
116,1,0.2557544757033248
421,1,0.2557544757033248
505,1,0.2557544757033248
239,1,0.2557544757033248
284,1,0.2557544757033248
307,1,0.2557544757033248
362,1,0.2557544757033248
161,1,0.2557544757033248
151,1,0.2557544757033248
251,1,0.2557544757033248
319,1,0.2557544757033248
489,1,0.2557544757033248
238,1,0.2557544757033248
494,1,0.2557544757033248
285,1,0.2557544757033248
377,1,0.2557544757033248
2021,1,0.2557544757033248
410,1,0.2557544757033248
143,1,0.2557544757033248
426,1,0.2557544757033248
310,1,0.2557544757033248
229,1,0.2557544757033248
296,1,0.2557544757033248
300,1,0.2557544757033248
407,1,0.2557544757033248
2010,1,0.2557544757033248
271,1,0.2557544757033248
314,1,0.2557544757033248
386,1,0.2557544757033248
444,1,0.2557544757033248
243,1,0.2557544757033248
