endstation,count,percentage
528,69,4.191980558930741
305,48,2.916160388821385
385,47,2.8554070473876063
492,45,2.7339003645200486
2017,44,2.67314702308627
281,40,2.4301336573511545
164,37,2.2478736330498177
359,31,1.8833535844471445
499,30,1.8226002430133657
510,28,1.701093560145808
2006,28,1.701093560145808
518,28,1.701093560145808
468,27,1.6403402187120293
2023,26,1.5795868772782502
507,23,1.3973268529769136
455,21,1.275820170109356
523,21,1.275820170109356
352,20,1.2150668286755772
236,19,1.1543134872417984
484,19,1.1543134872417984
137,19,1.1543134872417984
318,18,1.0935601458080195
519,18,1.0935601458080195
228,18,1.0935601458080195
2022,18,1.0935601458080195
457,18,1.0935601458080195
237,18,1.0935601458080195
511,17,1.0328068043742407
461,17,1.0328068043742407
516,16,0.9720534629404617
498,16,0.9720534629404617
497,15,0.9113001215066828
504,15,0.9113001215066828
513,15,0.9113001215066828
297,14,0.850546780072904
439,14,0.850546780072904
433,13,0.7897934386391251
441,13,0.7897934386391251
259,13,0.7897934386391251
432,13,0.7897934386391251
379,13,0.7897934386391251
440,13,0.7897934386391251
173,12,0.7290400972053462
485,12,0.7290400972053462
464,12,0.7290400972053462
367,12,0.7290400972053462
250,11,0.6682867557715675
479,11,0.6682867557715675
466,10,0.6075334143377886
422,10,0.6075334143377886
476,10,0.6075334143377886
488,10,0.6075334143377886
530,10,0.6075334143377886
445,9,0.5467800729040098
265,9,0.5467800729040098
478,9,0.5467800729040098
290,9,0.5467800729040098
520,9,0.5467800729040098
153,9,0.5467800729040098
480,8,0.48602673147023084
469,8,0.48602673147023084
477,8,0.48602673147023084
423,8,0.48602673147023084
500,8,0.48602673147023084
533,8,0.48602673147023084
529,8,0.48602673147023084
456,8,0.48602673147023084
522,8,0.48602673147023084
465,7,0.425273390036452
472,7,0.425273390036452
326,6,0.3645200486026731
438,6,0.3645200486026731
380,6,0.3645200486026731
411,6,0.3645200486026731
545,6,0.3645200486026731
475,6,0.3645200486026731
536,6,0.3645200486026731
474,6,0.3645200486026731
2003,6,0.3645200486026731
493,6,0.3645200486026731
514,5,0.3037667071688943
167,5,0.3037667071688943
403,5,0.3037667071688943
501,5,0.3037667071688943
428,5,0.3037667071688943
160,5,0.3037667071688943
450,5,0.3037667071688943
453,5,0.3037667071688943
267,5,0.3037667071688943
540,5,0.3037667071688943
393,5,0.3037667071688943
462,5,0.3037667071688943
409,4,0.24301336573511542
412,4,0.24301336573511542
512,4,0.24301336573511542
345,4,0.24301336573511542
473,4,0.24301336573511542
448,4,0.24301336573511542
505,4,0.24301336573511542
546,4,0.24301336573511542
347,4,0.24301336573511542
394,4,0.24301336573511542
402,4,0.24301336573511542
444,4,0.24301336573511542
294,4,0.24301336573511542
2004,4,0.24301336573511542
293,4,0.24301336573511542
2021,4,0.24301336573511542
537,4,0.24301336573511542
358,4,0.24301336573511542
486,4,0.24301336573511542
395,3,0.18226002430133656
325,3,0.18226002430133656
257,3,0.18226002430133656
312,3,0.18226002430133656
351,3,0.18226002430133656
521,3,0.18226002430133656
150,3,0.18226002430133656
317,3,0.18226002430133656
285,3,0.18226002430133656
487,3,0.18226002430133656
72,3,0.18226002430133656
168,3,0.18226002430133656
435,3,0.18226002430133656
161,3,0.18226002430133656
128,3,0.18226002430133656
442,3,0.18226002430133656
