endstation,count,percentage
128,67,2.565084226646248
348,62,2.3736600306278715
250,59,2.258805513016845
151,54,2.0673813169984685
473,48,1.8376722817764166
345,44,1.6845329249617151
532,44,1.6845329249617151
251,38,1.454823889739663
229,32,1.2251148545176112
497,32,1.2251148545176112
368,32,1.2251148545176112
361,31,1.1868300153139357
252,31,1.1868300153139357
326,30,1.1485451761102603
293,30,1.1485451761102603
410,28,1.0719754977029097
401,28,1.0719754977029097
432,28,1.0719754977029097
307,28,1.0719754977029097
358,27,1.0336906584992342
347,27,1.0336906584992342
2010,26,0.9954058192955589
2004,26,0.9954058192955589
161,25,0.9571209800918835
285,24,0.9188361408882083
439,24,0.9188361408882083
471,23,0.880551301684533
428,23,0.880551301684533
336,22,0.8422664624808576
300,22,0.8422664624808576
127,21,0.8039816232771823
475,20,0.7656967840735069
268,20,0.7656967840735069
316,20,0.7656967840735069
236,20,0.7656967840735069
223,19,0.7274119448698315
311,19,0.7274119448698315
531,19,0.7274119448698315
377,18,0.6891271056661562
433,18,0.6891271056661562
355,18,0.6891271056661562
303,18,0.6891271056661562
405,18,0.6891271056661562
265,18,0.6891271056661562
349,18,0.6891271056661562
491,17,0.6508422664624809
382,17,0.6508422664624809
415,17,0.6508422664624809
511,16,0.6125574272588056
350,16,0.6125574272588056
537,16,0.6125574272588056
445,16,0.6125574272588056
357,15,0.5742725880551302
317,15,0.5742725880551302
476,15,0.5742725880551302
502,15,0.5742725880551302
504,15,0.5742725880551302
528,14,0.5359877488514548
539,14,0.5359877488514548
483,14,0.5359877488514548
402,14,0.5359877488514548
296,14,0.5359877488514548
257,14,0.5359877488514548
332,14,0.5359877488514548
395,13,0.49770290964777947
2012,13,0.49770290964777947
295,13,0.49770290964777947
518,13,0.49770290964777947
279,13,0.49770290964777947
195,13,0.49770290964777947
325,12,0.45941807044410415
438,12,0.45941807044410415
435,12,0.45941807044410415
386,12,0.45941807044410415
356,12,0.45941807044410415
380,11,0.4211332312404288
237,11,0.4211332312404288
546,11,0.4211332312404288
540,11,0.4211332312404288
2002,10,0.38284839203675347
263,10,0.38284839203675347
458,10,0.38284839203675347
297,10,0.38284839203675347
412,10,0.38284839203675347
3002,10,0.38284839203675347
312,10,0.38284839203675347
351,10,0.38284839203675347
280,10,0.38284839203675347
394,10,0.38284839203675347
301,9,0.3445635528330781
284,9,0.3445635528330781
82,9,0.3445635528330781
119,9,0.3445635528330781
482,9,0.3445635528330781
383,9,0.3445635528330781
266,8,0.3062787136294028
466,8,0.3062787136294028
335,8,0.3062787136294028
462,8,0.3062787136294028
329,8,0.3062787136294028
467,8,0.3062787136294028
318,8,0.3062787136294028
306,8,0.3062787136294028
150,8,0.3062787136294028
369,8,0.3062787136294028
2003,8,0.3062787136294028
302,8,0.3062787136294028
340,8,0.3062787136294028
430,8,0.3062787136294028
212,8,0.3062787136294028
417,7,0.2679938744257274
247,7,0.2679938744257274
545,7,0.2679938744257274
521,7,0.2679938744257274
248,7,0.2679938744257274
264,7,0.2679938744257274
346,7,0.2679938744257274
508,7,0.2679938744257274
385,7,0.2679938744257274
404,7,0.2679938744257274
459,7,0.2679938744257274
400,7,0.2679938744257274
79,7,0.2679938744257274
426,7,0.2679938744257274
393,7,0.2679938744257274
