endstation,count,percentage
3002,74,3.9763567974207414
387,66,3.5464803868887693
327,61,3.277807630306287
152,44,2.364320257925846
386,37,1.9881783987103707
363,32,1.7195056421278883
376,29,1.5583019881783988
329,26,1.3970983342289092
232,26,1.3970983342289092
195,26,1.3970983342289092
2010,24,1.2896292315959161
151,23,1.2358946802794197
392,23,1.2358946802794197
328,22,1.182160128962923
348,21,1.1284255776464267
264,20,1.07469102632993
257,20,1.07469102632993
320,20,1.07469102632993
459,20,1.07469102632993
351,19,1.0209564750134337
79,18,0.967221923696937
309,18,0.967221923696937
249,18,0.967221923696937
360,17,0.9134873723804406
233,17,0.9134873723804406
306,17,0.9134873723804406
347,17,0.9134873723804406
310,16,0.8597528210639441
355,16,0.8597528210639441
316,16,0.8597528210639441
279,15,0.8060182697474476
534,15,0.8060182697474476
415,14,0.7522837184309511
293,13,0.6985491671144546
268,13,0.6985491671144546
406,13,0.6985491671144546
312,13,0.6985491671144546
361,13,0.6985491671144546
514,13,0.6985491671144546
251,12,0.6448146157979581
147,12,0.6448146157979581
403,12,0.6448146157979581
2004,12,0.6448146157979581
368,12,0.6448146157979581
294,12,0.6448146157979581
224,12,0.6448146157979581
2008,12,0.6448146157979581
467,12,0.6448146157979581
323,12,0.6448146157979581
127,11,0.5910800644814616
2000,11,0.5910800644814616
382,11,0.5910800644814616
82,10,0.537345513164965
308,10,0.537345513164965
530,10,0.537345513164965
457,10,0.537345513164965
238,10,0.537345513164965
161,10,0.537345513164965
146,10,0.537345513164965
358,10,0.537345513164965
307,9,0.4836109618484685
380,9,0.4836109618484685
284,9,0.4836109618484685
276,9,0.4836109618484685
263,9,0.4836109618484685
314,9,0.4836109618484685
128,9,0.4836109618484685
369,9,0.4836109618484685
404,8,0.42987641053197206
157,8,0.42987641053197206
463,8,0.42987641053197206
409,8,0.42987641053197206
375,8,0.42987641053197206
525,8,0.42987641053197206
430,8,0.42987641053197206
433,8,0.42987641053197206
410,8,0.42987641053197206
303,8,0.42987641053197206
218,7,0.37614185921547555
319,7,0.37614185921547555
435,7,0.37614185921547555
168,7,0.37614185921547555
416,7,0.37614185921547555
250,7,0.37614185921547555
217,7,0.37614185921547555
426,7,0.37614185921547555
345,7,0.37614185921547555
330,7,0.37614185921547555
478,7,0.37614185921547555
247,6,0.32240730789897903
432,6,0.32240730789897903
401,6,0.32240730789897903
494,6,0.32240730789897903
265,6,0.32240730789897903
446,6,0.32240730789897903
490,6,0.32240730789897903
414,6,0.32240730789897903
474,6,0.32240730789897903
500,6,0.32240730789897903
462,6,0.32240730789897903
405,6,0.32240730789897903
402,6,0.32240730789897903
212,6,0.32240730789897903
509,5,0.2686727565824825
487,5,0.2686727565824825
502,5,0.2686727565824825
383,5,0.2686727565824825
438,5,0.2686727565824825
483,5,0.2686727565824825
390,5,0.2686727565824825
321,5,0.2686727565824825
497,5,0.2686727565824825
482,5,0.2686727565824825
72,5,0.2686727565824825
216,5,0.2686727565824825
377,5,0.2686727565824825
364,5,0.2686727565824825
237,5,0.2686727565824825
116,5,0.2686727565824825
304,5,0.2686727565824825
439,5,0.2686727565824825
495,4,0.21493820526598603
225,4,0.21493820526598603
296,4,0.21493820526598603
324,4,0.21493820526598603
476,4,0.21493820526598603
301,4,0.21493820526598603
508,4,0.21493820526598603
445,4,0.21493820526598603
2009,4,0.21493820526598603
143,4,0.21493820526598603
532,4,0.21493820526598603
300,4,0.21493820526598603
248,4,0.21493820526598603
515,4,0.21493820526598603
346,4,0.21493820526598603
120,4,0.21493820526598603
150,4,0.21493820526598603
229,4,0.21493820526598603
297,4,0.21493820526598603
428,4,0.21493820526598603
295,3,0.16120365394948952
336,3,0.16120365394948952
470,3,0.16120365394948952
473,3,0.16120365394948952
531,3,0.16120365394948952
305,3,0.16120365394948952
423,3,0.16120365394948952
349,3,0.16120365394948952
453,3,0.16120365394948952
280,3,0.16120365394948952
317,3,0.16120365394948952
391,3,0.16120365394948952
488,3,0.16120365394948952
546,3,0.16120365394948952
523,3,0.16120365394948952
519,3,0.16120365394948952
448,3,0.16120365394948952
475,3,0.16120365394948952
83,3,0.16120365394948952
427,3,0.16120365394948952
422,3,0.16120365394948952
311,3,0.16120365394948952
504,3,0.16120365394948952
399,3,0.16120365394948952
507,3,0.16120365394948952
395,3,0.16120365394948952
393,3,0.16120365394948952
444,3,0.16120365394948952
325,3,0.16120365394948952
493,3,0.16120365394948952
260,3,0.16120365394948952
472,3,0.16120365394948952
244,3,0.16120365394948952
331,3,0.16120365394948952
291,3,0.16120365394948952
479,3,0.16120365394948952
408,2,0.10746910263299302
137,2,0.10746910263299302
481,2,0.10746910263299302
302,2,0.10746910263299302
458,2,0.10746910263299302
505,2,0.10746910263299302
335,2,0.10746910263299302
278,2,0.10746910263299302
334,2,0.10746910263299302
372,2,0.10746910263299302
281,2,0.10746910263299302
298,2,0.10746910263299302
326,2,0.10746910263299302
396,2,0.10746910263299302
510,2,0.10746910263299302
545,2,0.10746910263299302
350,2,0.10746910263299302
455,2,0.10746910263299302
466,2,0.10746910263299302
160,2,0.10746910263299302
388,2,0.10746910263299302
521,2,0.10746910263299302
450,2,0.10746910263299302
480,2,0.10746910263299302
442,2,0.10746910263299302
499,2,0.10746910263299302
341,2,0.10746910263299302
522,2,0.10746910263299302
397,2,0.10746910263299302
412,2,0.10746910263299302
486,2,0.10746910263299302
496,2,0.10746910263299302
529,1,0.05373455131649651
344,1,0.05373455131649651
261,1,0.05373455131649651
492,1,0.05373455131649651
275,1,0.05373455131649651
367,1,0.05373455131649651
411,1,0.05373455131649651
398,1,0.05373455131649651
501,1,0.05373455131649651
359,1,0.05373455131649651
471,1,0.05373455131649651
420,1,0.05373455131649651
289,1,0.05373455131649651
407,1,0.05373455131649651
271,1,0.05373455131649651
337,1,0.05373455131649651
365,1,0.05373455131649651
285,1,0.05373455131649651
373,1,0.05373455131649651
389,1,0.05373455131649651
516,1,0.05373455131649651
461,1,0.05373455131649651
431,1,0.05373455131649651
384,1,0.05373455131649651
537,1,0.05373455131649651
434,1,0.05373455131649651
2002,1,0.05373455131649651
539,1,0.05373455131649651
2021,1,0.05373455131649651
540,1,0.05373455131649651
343,1,0.05373455131649651
270,1,0.05373455131649651
2003,1,0.05373455131649651
153,1,0.05373455131649651
340,1,0.05373455131649651
259,1,0.05373455131649651
454,1,0.05373455131649651
274,1,0.05373455131649651
485,1,0.05373455131649651
252,1,0.05373455131649651
447,1,0.05373455131649651
477,1,0.05373455131649651
511,1,0.05373455131649651
342,1,0.05373455131649651
503,1,0.05373455131649651
357,1,0.05373455131649651
290,1,0.05373455131649651
417,1,0.05373455131649651
