endstation,count,percentage
237,133,3.186391950167705
236,107,2.563488260661236
297,97,2.3239099185433636
497,95,2.275994250119789
504,92,2.2041207474844273
507,83,1.9885002395783422
519,73,1.7489218974604697
528,60,1.4374700527072353
428,57,1.3655965500718734
379,57,1.3655965500718734
293,55,1.317680881648299
402,51,1.2218495448011502
439,51,1.2218495448011502
438,50,1.1978917105893627
435,45,1.0781025395304265
461,44,1.0541447053186392
432,43,1.0301868711068518
174,41,0.9822712026832775
312,40,0.9583133684714902
433,39,0.9343555342597029
491,39,0.9343555342597029
466,38,0.9103977000479155
473,37,0.8864398658361284
511,37,0.8864398658361284
300,37,0.8864398658361284
285,37,0.8864398658361284
403,36,0.8624820316243411
472,36,0.8624820316243411
537,36,0.8624820316243411
444,35,0.8385241974125539
317,35,0.8385241974125539
251,35,0.8385241974125539
518,35,0.8385241974125539
465,35,0.8385241974125539
326,34,0.8145663632007666
536,34,0.8145663632007666
498,34,0.8145663632007666
2003,33,0.7906085289889795
487,32,0.7666506947771922
250,31,0.7426928605654048
290,31,0.7426928605654048
486,31,0.7426928605654048
493,30,0.7187350263536176
442,30,0.7187350263536176
401,30,0.7187350263536176
229,29,0.6947771921418304
501,29,0.6947771921418304
545,29,0.6947771921418304
265,29,0.6947771921418304
474,28,0.6708193579300431
445,28,0.6708193579300431
531,28,0.6708193579300431
455,27,0.6468615237182559
382,27,0.6468615237182559
523,27,0.6468615237182559
2012,27,0.6468615237182559
164,27,0.6468615237182559
477,25,0.5989458552946814
476,25,0.5989458552946814
394,25,0.5989458552946814
160,24,0.574988021082894
540,24,0.574988021082894
521,23,0.5510301868711068
161,23,0.5510301868711068
483,22,0.5270723526593196
459,22,0.5270723526593196
345,22,0.5270723526593196
151,21,0.5031145184475324
263,21,0.5031145184475324
279,20,0.4791566842357451
361,19,0.45519885002395777
325,19,0.45519885002395777
388,19,0.45519885002395777
116,19,0.45519885002395777
294,18,0.43124101581217056
520,18,0.43124101581217056
475,18,0.43124101581217056
167,18,0.43124101581217056
410,18,0.43124101581217056
505,17,0.4072831816003833
514,17,0.4072831816003833
128,17,0.4072831816003833
315,17,0.4072831816003833
517,16,0.3833253473885961
355,16,0.3833253473885961
228,16,0.3833253473885961
348,16,0.3833253473885961
385,15,0.3593675131768088
496,15,0.3593675131768088
307,15,0.3593675131768088
446,15,0.3593675131768088
327,15,0.3593675131768088
368,15,0.3593675131768088
503,14,0.33540967896502155
330,14,0.33540967896502155
441,14,0.33540967896502155
335,14,0.33540967896502155
334,13,0.3114518447532343
280,13,0.3114518447532343
462,13,0.3114518447532343
301,13,0.3114518447532343
281,13,0.3114518447532343
2004,13,0.3114518447532343
296,12,0.287494010541447
375,12,0.287494010541447
2023,12,0.287494010541447
359,12,0.287494010541447
72,12,0.287494010541447
411,12,0.287494010541447
440,12,0.287494010541447
546,11,0.2635361763296598
454,11,0.2635361763296598
332,11,0.2635361763296598
318,11,0.2635361763296598
447,11,0.2635361763296598
357,10,0.23957834211787254
316,10,0.23957834211787254
510,10,0.23957834211787254
360,10,0.23957834211787254
347,10,0.23957834211787254
383,10,0.23957834211787254
308,10,0.23957834211787254
336,10,0.23957834211787254
463,10,0.23957834211787254
168,10,0.23957834211787254
516,10,0.23957834211787254
434,10,0.23957834211787254
340,10,0.23957834211787254
82,9,0.21562050790608528
532,9,0.21562050790608528
150,9,0.21562050790608528
380,9,0.21562050790608528
2008,9,0.21562050790608528
268,9,0.21562050790608528
311,9,0.21562050790608528
485,9,0.21562050790608528
223,9,0.21562050790608528
469,9,0.21562050790608528
526,9,0.21562050790608528
482,8,0.19166267369429804
489,8,0.19166267369429804
450,8,0.19166267369429804
492,8,0.19166267369429804
351,8,0.19166267369429804
349,8,0.19166267369429804
331,8,0.19166267369429804
153,8,0.19166267369429804
453,8,0.19166267369429804
494,8,0.19166267369429804
303,8,0.19166267369429804
426,8,0.19166267369429804
2022,8,0.19166267369429804
502,7,0.16770483948251078
393,7,0.16770483948251078
387,7,0.16770483948251078
358,7,0.16770483948251078
337,7,0.16770483948251078
512,7,0.16770483948251078
266,7,0.16770483948251078
350,7,0.16770483948251078
458,7,0.16770483948251078
499,6,0.1437470052707235
404,6,0.1437470052707235
346,6,0.1437470052707235
295,6,0.1437470052707235
470,6,0.1437470052707235
341,6,0.1437470052707235
2017,6,0.1437470052707235
456,6,0.1437470052707235
284,5,0.11978917105893627
515,5,0.11978917105893627
195,5,0.11978917105893627
367,5,0.11978917105893627
267,5,0.11978917105893627
484,5,0.11978917105893627
137,5,0.11978917105893627
533,5,0.11978917105893627
467,5,0.11978917105893627
247,5,0.11978917105893627
264,5,0.11978917105893627
509,5,0.11978917105893627
305,5,0.11978917105893627
376,4,0.09583133684714902
302,4,0.09583133684714902
2021,4,0.09583133684714902
152,4,0.09583133684714902
127,4,0.09583133684714902
252,4,0.09583133684714902
261,4,0.09583133684714902
448,4,0.09583133684714902
529,4,0.09583133684714902
356,4,0.09583133684714902
298,4,0.09583133684714902
377,4,0.09583133684714902
259,4,0.09583133684714902
457,4,0.09583133684714902
522,4,0.09583133684714902
488,4,0.09583133684714902
306,3,0.07187350263536176
2010,3,0.07187350263536176
271,3,0.07187350263536176
339,3,0.07187350263536176
258,3,0.07187350263536176
412,3,0.07187350263536176
225,3,0.07187350263536176
3002,3,0.07187350263536176
427,3,0.07187350263536176
471,3,0.07187350263536176
2009,3,0.07187350263536176
217,3,0.07187350263536176
291,3,0.07187350263536176
481,3,0.07187350263536176
460,3,0.07187350263536176
309,3,0.07187350263536176
490,3,0.07187350263536176
422,2,0.04791566842357451
353,2,0.04791566842357451
260,2,0.04791566842357451
479,2,0.04791566842357451
405,2,0.04791566842357451
369,2,0.04791566842357451
416,2,0.04791566842357451
395,2,0.04791566842357451
400,2,0.04791566842357451
257,2,0.04791566842357451
310,2,0.04791566842357451
430,2,0.04791566842357451
423,2,0.04791566842357451
83,2,0.04791566842357451
408,2,0.04791566842357451
2006,2,0.04791566842357451
329,2,0.04791566842357451
495,2,0.04791566842357451
173,2,0.04791566842357451
