endstation,count,percentage
217,246,12.26321036889332
387,243,12.113659022931206
398,179,8.923230309072782
2000,60,2.991026919242273
430,58,2.8913260219341974
232,54,2.6919242273180455
157,47,2.3429710867397806
406,41,2.0438683948155534
321,37,1.844466600199402
314,36,1.794616151545364
386,35,1.744765702891326
407,33,1.6450648055832504
418,31,1.5453639082751744
242,30,1.4955134596211366
310,27,1.3459621136590227
414,25,1.2462612163509472
467,25,1.2462612163509472
143,24,1.1964107676969093
330,23,1.1465603190428715
412,22,1.0967098703888334
233,21,1.0468594217347957
282,20,0.9970089730807578
323,20,0.9970089730807578
216,19,0.9471585244267198
271,19,0.9471585244267198
261,18,0.897308075772682
224,18,0.897308075772682
2002,17,0.847457627118644
532,15,0.7477567298105683
83,15,0.7477567298105683
243,13,0.6480558325024925
389,13,0.6480558325024925
539,12,0.5982053838484547
278,12,0.5982053838484547
144,10,0.4985044865403789
421,10,0.4985044865403789
437,9,0.448654037886341
358,9,0.448654037886341
263,9,0.448654037886341
390,9,0.448654037886341
296,8,0.3988035892323031
392,8,0.3988035892323031
308,8,0.3988035892323031
2010,8,0.3988035892323031
320,7,0.3489531405782652
312,7,0.3489531405782652
471,7,0.3489531405782652
395,7,0.3489531405782652
497,7,0.3489531405782652
396,6,0.29910269192422734
426,6,0.29910269192422734
521,6,0.29910269192422734
417,6,0.29910269192422734
274,6,0.29910269192422734
481,6,0.29910269192422734
268,6,0.29910269192422734
218,6,0.29910269192422734
151,6,0.29910269192422734
397,6,0.29910269192422734
241,6,0.29910269192422734
401,5,0.24925224327018944
146,5,0.24925224327018944
443,5,0.24925224327018944
455,5,0.24925224327018944
244,5,0.24925224327018944
462,5,0.24925224327018944
251,5,0.24925224327018944
391,5,0.24925224327018944
309,5,0.24925224327018944
298,5,0.24925224327018944
319,5,0.24925224327018944
372,5,0.24925224327018944
366,5,0.24925224327018944
460,4,0.19940179461615154
344,4,0.19940179461615154
285,4,0.19940179461615154
195,4,0.19940179461615154
225,4,0.19940179461615154
420,4,0.19940179461615154
161,4,0.19940179461615154
304,4,0.19940179461615154
316,4,0.19940179461615154
293,4,0.19940179461615154
245,4,0.19940179461615154
313,4,0.19940179461615154
250,4,0.19940179461615154
295,4,0.19940179461615154
504,4,0.19940179461615154
306,4,0.19940179461615154
2004,3,0.14955134596211367
528,3,0.14955134596211367
300,3,0.14955134596211367
354,3,0.14955134596211367
264,3,0.14955134596211367
357,3,0.14955134596211367
324,3,0.14955134596211367
416,3,0.14955134596211367
347,3,0.14955134596211367
384,3,0.14955134596211367
353,3,0.14955134596211367
355,3,0.14955134596211367
472,3,0.14955134596211367
409,3,0.14955134596211367
361,3,0.14955134596211367
431,3,0.14955134596211367
275,3,0.14955134596211367
501,3,0.14955134596211367
540,3,0.14955134596211367
307,3,0.14955134596211367
376,3,0.14955134596211367
2009,2,0.09970089730807577
411,2,0.09970089730807577
229,2,0.09970089730807577
270,2,0.09970089730807577
311,2,0.09970089730807577
331,2,0.09970089730807577
478,2,0.09970089730807577
315,2,0.09970089730807577
534,2,0.09970089730807577
410,2,0.09970089730807577
303,2,0.09970089730807577
415,2,0.09970089730807577
373,2,0.09970089730807577
503,2,0.09970089730807577
239,2,0.09970089730807577
356,2,0.09970089730807577
82,2,0.09970089730807577
419,2,0.09970089730807577
508,2,0.09970089730807577
545,2,0.09970089730807577
375,2,0.09970089730807577
363,2,0.09970089730807577
348,2,0.09970089730807577
502,2,0.09970089730807577
491,2,0.09970089730807577
473,2,0.09970089730807577
343,2,0.09970089730807577
536,2,0.09970089730807577
119,2,0.09970089730807577
337,2,0.09970089730807577
368,2,0.09970089730807577
519,2,0.09970089730807577
262,2,0.09970089730807577
259,2,0.09970089730807577
349,2,0.09970089730807577
428,2,0.09970089730807577
147,2,0.09970089730807577
326,2,0.09970089730807577
399,1,0.049850448654037885
301,1,0.049850448654037885
351,1,0.049850448654037885
294,1,0.049850448654037885
3002,1,0.049850448654037885
116,1,0.049850448654037885
531,1,0.049850448654037885
439,1,0.049850448654037885
364,1,0.049850448654037885
79,1,0.049850448654037885
237,1,0.049850448654037885
258,1,0.049850448654037885
290,1,0.049850448654037885
477,1,0.049850448654037885
279,1,0.049850448654037885
509,1,0.049850448654037885
2012,1,0.049850448654037885
252,1,0.049850448654037885
511,1,0.049850448654037885
516,1,0.049850448654037885
520,1,0.049850448654037885
438,1,0.049850448654037885
236,1,0.049850448654037885
336,1,0.049850448654037885
280,1,0.049850448654037885
369,1,0.049850448654037885
436,1,0.049850448654037885
482,1,0.049850448654037885
168,1,0.049850448654037885
327,1,0.049850448654037885
454,1,0.049850448654037885
350,1,0.049850448654037885
445,1,0.049850448654037885
383,1,0.049850448654037885
238,1,0.049850448654037885
377,1,0.049850448654037885
266,1,0.049850448654037885
2001,1,0.049850448654037885
365,1,0.049850448654037885
458,1,0.049850448654037885
317,1,0.049850448654037885
