endstation,count,percentage
323,47,11.352657004830919
239,37,8.937198067632849
366,23,5.555555555555555
390,22,5.314009661835748
270,19,4.5893719806763285
430,16,3.864734299516908
244,14,3.3816425120772946
420,12,2.898550724637681
399,9,2.1739130434782608
354,9,2.1739130434782608
324,9,2.1739130434782608
416,7,1.6908212560386473
241,7,1.6908212560386473
418,7,1.6908212560386473
275,6,1.4492753623188406
245,5,1.2077294685990339
216,5,1.2077294685990339
233,5,1.2077294685990339
421,5,1.2077294685990339
373,5,1.2077294685990339
372,5,1.2077294685990339
414,5,1.2077294685990339
143,5,1.2077294685990339
242,5,1.2077294685990339
271,5,1.2077294685990339
224,5,1.2077294685990339
437,4,0.966183574879227
407,4,0.966183574879227
243,4,0.966183574879227
262,4,0.966183574879227
497,3,0.7246376811594203
365,3,0.7246376811594203
313,3,0.7246376811594203
217,3,0.7246376811594203
261,3,0.7246376811594203
312,3,0.7246376811594203
481,3,0.7246376811594203
387,3,0.7246376811594203
353,3,0.7246376811594203
417,3,0.7246376811594203
392,3,0.7246376811594203
321,3,0.7246376811594203
460,3,0.7246376811594203
258,3,0.7246376811594203
310,2,0.4830917874396135
157,2,0.4830917874396135
483,2,0.4830917874396135
326,2,0.4830917874396135
412,2,0.4830917874396135
539,2,0.4830917874396135
2002,2,0.4830917874396135
330,2,0.4830917874396135
431,2,0.4830917874396135
264,2,0.4830917874396135
344,2,0.4830917874396135
395,2,0.4830917874396135
532,2,0.4830917874396135
314,2,0.4830917874396135
384,2,0.4830917874396135
436,2,0.4830917874396135
345,1,0.24154589371980675
470,1,0.24154589371980675
361,1,0.24154589371980675
232,1,0.24154589371980675
419,1,0.24154589371980675
298,1,0.24154589371980675
397,1,0.24154589371980675
285,1,0.24154589371980675
265,1,0.24154589371980675
263,1,0.24154589371980675
268,1,0.24154589371980675
274,1,0.24154589371980675
389,1,0.24154589371980675
363,1,0.24154589371980675
319,1,0.24154589371980675
119,1,0.24154589371980675
401,1,0.24154589371980675
218,1,0.24154589371980675
278,1,0.24154589371980675
433,1,0.24154589371980675
409,1,0.24154589371980675
151,1,0.24154589371980675
364,1,0.24154589371980675
120,1,0.24154589371980675
250,1,0.24154589371980675
