endstation,count,percentage
492,84,2.67601146862058
477,83,2.6441541892322395
491,76,2.421153233513858
498,71,2.261866836572157
488,67,2.1344377190187958
490,65,2.0707231602421152
497,65,2.0707231602421152
444,65,2.0707231602421152
528,56,1.7840076457470533
485,55,1.752150366358713
546,54,1.7202930869703728
474,46,1.4654348518636509
435,46,1.4654348518636509
472,45,1.4335775724753106
379,43,1.36986301369863
518,41,1.3061484549219495
517,37,1.1787193373685887
466,37,1.1787193373685887
362,36,1.1468620579802484
267,34,1.083147499203568
540,32,1.0194329404268876
486,29,0.9238611022618668
281,29,0.9238611022618668
510,28,0.8920038228735266
496,28,0.8920038228735266
529,27,0.8601465434851864
476,26,0.8282892640968461
501,26,0.8282892640968461
523,26,0.8282892640968461
507,26,0.8282892640968461
442,25,0.796431984708506
164,25,0.796431984708506
475,25,0.796431984708506
402,25,0.796431984708506
137,25,0.796431984708506
305,24,0.7645747053201656
228,24,0.7645747053201656
448,22,0.7008601465434852
465,22,0.7008601465434852
537,22,0.7008601465434852
454,21,0.669002867155145
357,21,0.669002867155145
434,20,0.6371455877668047
468,20,0.6371455877668047
251,20,0.6371455877668047
168,20,0.6371455877668047
285,19,0.6052883083784645
545,19,0.6052883083784645
511,19,0.6052883083784645
293,18,0.5734310289901242
334,18,0.5734310289901242
290,17,0.541573749601784
2006,17,0.541573749601784
335,17,0.541573749601784
382,17,0.541573749601784
2003,16,0.5097164702134438
499,16,0.5097164702134438
441,16,0.5097164702134438
2017,16,0.5097164702134438
329,16,0.5097164702134438
317,16,0.5097164702134438
456,16,0.5097164702134438
489,16,0.5097164702134438
504,16,0.5097164702134438
173,16,0.5097164702134438
250,16,0.5097164702134438
458,15,0.47785919082510353
521,15,0.47785919082510353
352,15,0.47785919082510353
526,14,0.4460019114367633
487,14,0.4460019114367633
450,14,0.4460019114367633
237,14,0.4460019114367633
236,13,0.41414463204842306
433,13,0.41414463204842306
367,13,0.41414463204842306
377,13,0.41414463204842306
463,13,0.41414463204842306
359,13,0.41414463204842306
493,13,0.41414463204842306
368,12,0.3822873526600828
536,12,0.3822873526600828
284,12,0.3822873526600828
522,12,0.3822873526600828
337,12,0.3822873526600828
432,12,0.3822873526600828
505,11,0.3504300732717426
127,11,0.3504300732717426
447,11,0.3504300732717426
307,11,0.3504300732717426
484,10,0.31857279388340237
457,10,0.31857279388340237
464,10,0.31857279388340237
403,10,0.31857279388340237
128,10,0.31857279388340237
167,10,0.31857279388340237
446,10,0.31857279388340237
325,9,0.2867155144950621
263,9,0.2867155144950621
151,9,0.2867155144950621
519,9,0.2867155144950621
326,9,0.2867155144950621
174,9,0.2867155144950621
508,9,0.2867155144950621
440,9,0.2867155144950621
116,9,0.2867155144950621
297,9,0.2867155144950621
405,9,0.2867155144950621
509,9,0.2867155144950621
479,9,0.2867155144950621
453,9,0.2867155144950621
482,9,0.2867155144950621
2021,8,0.2548582351067219
301,8,0.2548582351067219
280,8,0.2548582351067219
461,8,0.2548582351067219
229,8,0.2548582351067219
2023,8,0.2548582351067219
533,8,0.2548582351067219
478,8,0.2548582351067219
345,8,0.2548582351067219
515,8,0.2548582351067219
153,8,0.2548582351067219
500,8,0.2548582351067219
503,8,0.2548582351067219
428,7,0.22300095571838166
470,7,0.22300095571838166
410,7,0.22300095571838166
294,7,0.22300095571838166
480,7,0.22300095571838166
495,7,0.22300095571838166
387,7,0.22300095571838166
160,7,0.22300095571838166
306,7,0.22300095571838166
312,7,0.22300095571838166
375,7,0.22300095571838166
259,7,0.22300095571838166
469,7,0.22300095571838166
462,6,0.1911436763300414
404,6,0.1911436763300414
2022,6,0.1911436763300414
392,6,0.1911436763300414
459,6,0.1911436763300414
380,6,0.1911436763300414
355,6,0.1911436763300414
483,6,0.1911436763300414
445,6,0.1911436763300414
394,6,0.1911436763300414
520,6,0.1911436763300414
530,6,0.1911436763300414
525,6,0.1911436763300414
342,5,0.15928639694170119
386,5,0.15928639694170119
358,5,0.15928639694170119
439,5,0.15928639694170119
438,5,0.15928639694170119
82,5,0.15928639694170119
2010,5,0.15928639694170119
512,5,0.15928639694170119
514,5,0.15928639694170119
327,5,0.15928639694170119
2012,5,0.15928639694170119
531,5,0.15928639694170119
315,5,0.15928639694170119
3002,4,0.12742911755336095
426,4,0.12742911755336095
494,4,0.12742911755336095
347,4,0.12742911755336095
383,4,0.12742911755336095
376,4,0.12742911755336095
276,4,0.12742911755336095
423,4,0.12742911755336095
369,4,0.12742911755336095
257,4,0.12742911755336095
348,4,0.12742911755336095
473,4,0.12742911755336095
516,4,0.12742911755336095
415,4,0.12742911755336095
417,4,0.12742911755336095
449,4,0.12742911755336095
513,4,0.12742911755336095
300,4,0.12742911755336095
393,4,0.12742911755336095
310,4,0.12742911755336095
455,4,0.12742911755336095
330,4,0.12742911755336095
319,3,0.0955718381650207
336,3,0.0955718381650207
361,3,0.0955718381650207
340,3,0.0955718381650207
268,3,0.0955718381650207
360,3,0.0955718381650207
395,3,0.0955718381650207
318,3,0.0955718381650207
320,3,0.0955718381650207
416,3,0.0955718381650207
422,3,0.0955718381650207
265,3,0.0955718381650207
2008,2,0.06371455877668047
304,2,0.06371455877668047
314,2,0.06371455877668047
400,2,0.06371455877668047
303,2,0.06371455877668047
279,2,0.06371455877668047
406,2,0.06371455877668047
308,2,0.06371455877668047
351,2,0.06371455877668047
248,2,0.06371455877668047
323,2,0.06371455877668047
2002,2,0.06371455877668047
252,2,0.06371455877668047
150,2,0.06371455877668047
532,2,0.06371455877668047
311,2,0.06371455877668047
83,2,0.06371455877668047
353,2,0.06371455877668047
412,2,0.06371455877668047
309,2,0.06371455877668047
161,2,0.06371455877668047
427,2,0.06371455877668047
212,2,0.06371455877668047
316,2,0.06371455877668047
346,2,0.06371455877668047
146,2,0.06371455877668047
260,2,0.06371455877668047
350,2,0.06371455877668047
398,1,0.03185727938834024
328,1,0.03185727938834024
385,1,0.03185727938834024
2000,1,0.03185727938834024
2004,1,0.03185727938834024
295,1,0.03185727938834024
147,1,0.03185727938834024
195,1,0.03185727938834024
264,1,0.03185727938834024
389,1,0.03185727938834024
224,1,0.03185727938834024
120,1,0.03185727938834024
225,1,0.03185727938834024
2009,1,0.03185727938834024
291,1,0.03185727938834024
72,1,0.03185727938834024
539,1,0.03185727938834024
430,1,0.03185727938834024
266,1,0.03185727938834024
321,1,0.03185727938834024
223,1,0.03185727938834024
401,1,0.03185727938834024
363,1,0.03185727938834024
534,1,0.03185727938834024
388,1,0.03185727938834024
152,1,0.03185727938834024
271,1,0.03185727938834024
